Name,Tag,Image URL,Origin,Length,Color,Stem Price,Quantity,First Quantity
Anthurium caribean,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x59089ACF8AEBF8C9ED9D6D439002815F5C77F178.jpg",NL,7 cm,Red,"€ 0,47",620,8x15
Anthurium caribean,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x59089ACF8AEBF8C9ED9D6D439002815F5C77F178.jpg",,,,,,
Anthurium caribean,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x59089ACF8AEBF8C9ED9D6D439002815F5C77F178.jpg",,,,,,
Anthurium champagne,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xEF499FDB2CC399AD0BD30AE95FE8A72DCFE65446.jpg",NL,55 cm,Cream,"€ 0,75",690,8x16
Anthurium champagne,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xEF499FDB2CC399AD0BD30AE95FE8A72DCFE65446.jpg",,,,,,
Anthurium champagne,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xEF499FDB2CC399AD0BD30AE95FE8A72DCFE65446.jpg",,,,,,
Anthurium eterno,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xC93BFE8CA908C33CC81AA350B33C539CEE98C607.jpg",NL,13 cm,Red,"€ 0,72",690,7x12
Anthurium eterno,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xC93BFE8CA908C33CC81AA350B33C539CEE98C607.jpg",,,,,,
Anthurium eterno,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xC93BFE8CA908C33CC81AA350B33C539CEE98C607.jpg",,,,,,
Anthurium eterno B1,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xC8E438A706948EF37ADC328980FFE3A0C1B21820.jpg",NL,50 cm,Red,"€ 0,60",690,8x12
